SessionFile,PlayerID,Person,Label,CheatType,SessionDurationSeconds,AimAngularSpeedMean,AimAngularSpeedStdDev,AimAngularErrorMean,AimAngularErrorStdDev,AimErrorSampleCount,AimFlipRatio,MovementSpeedMean,MovementSpeedMax,DirectionChangesPerSecond,SpeedViolationRatio,MovementPathEntropy,ReactionTimeMean,ReactionTimeStdDev,ShotIntervalMean,ShotIntervalStdDev,ShotsPerSecond,HitRate,HeadshotRate,KillsPerMinute,KillDeathRatio,TotalShots,TotalHits,TotalKills,TotalDeaths
session_2026-08-13_13-02-34.csv,Stacjonarny-CA89EB15,Mateusz,0,,129.7979,26.5578,55.4578,13.2699,11.4637,153,0.0,344.8369,600.0,0.4468,0.0,2.9328,0.1826,0.3312,0.2786,0.6396,1.6256,0.2322,0.0,1.849,1.0,211,49,4,4
session_2026-08-13_13-02-34.csv,DESKTOP-375SOSC-ECA1,Joni,0,,114.488,37.1062,91.5256,12.9642,6.7215,24,0.0,397.0037,600.0,0.2795,0.0,2.9397,0.1671,0.0,0.5709,1.0274,0.2446,0.1071,0.0,0.0,0.0,28,3,0,7
session_2026-08-13_13-02-34.csv,Krystall-8CBC35F24BD,Peter,0,,126.5525,45.3369,79.8336,11.3755,12.3078,338,0.0,419.0226,600.0,0.5689,0.0,2.9612,0.0864,0.0973,0.1881,0.6064,3.1291,0.1869,0.0,1.8964,1.0,396,74,4,4
session_2026-08-13_13-02-34.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,120.0796,58.0228,92.0743,11.6912,8.9096,186,0.0,492.482,600.0,0.508,0.0,2.9038,0.1077,0.1134,0.3336,0.707,2.1402,0.2296,0.0,3.4977,1.1667,257,59,7,6
session_2026-08-13_19-43-23.csv,MBurgerPC-C08954A945,Maxi,0,,124.7343,41.507,72.4814,6.5737,8.6693,263,0.0,371.8492,600.0,0.5692,0.0,2.9629,0.2242,0.73,0.2324,0.7116,2.9743,0.1941,0.0,1.4431,0.6,371,72,3,5
session_2026-08-13_19-43-23.csv,Phileas-PC-167800BF4,Phileas,0,,131.0169,49.5871,96.9114,9.7944,10.4755,200,0.0008,358.1232,600.0,0.4427,0.0,2.9827,0.1149,0.225,0.2212,0.5473,2.1753,0.1895,0.0,1.3739,0.75,285,54,3,4
session_2026-08-13_19-43-23.csv,Stacjonarny-CA89EB15,Mateusz,0,,119.6896,50.7201,83.405,6.9198,8.6007,143,0.0,368.6072,639.1786,0.4846,0.0008,2.9248,0.154,0.3827,0.2504,0.5537,1.788,0.2103,0.0,2.0052,0.6667,214,45,4,6
session_2026-08-13_19-43-23.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,128.9384,64.2582,94.9332,10.1042,10.7998,259,0.0,547.8795,600.0,0.5196,0.0,2.9809,0.1544,0.5768,0.2225,0.5764,2.8231,0.1868,0.0,3.7227,1.6,364,68,8,5
session_2026-08-13_19-46-13.csv,MBurgerPC-C08954A945,Maxi,1,aimbot,123.6399,29.8586,66.8431,8.3995,8.264,113,0.0,310.6728,600.0,0.3154,0.0,2.9673,0.2883,0.9217,0.2147,0.4988,1.1808,0.1575,0.0,0.9706,0.3333,146,23,2,6
session_2026-08-13_19-46-13.csv,Phileas-PC-167800BF4,Phileas,0,,130.7595,47.1812,93.8053,9.5426,10.8638,255,0.0,321.1303,600.0,0.3747,0.0,2.9805,0.1047,0.4243,0.1775,0.4744,2.2943,0.2133,0.0,2.7531,1.5,300,64,6,4
session_2026-08-13_19-46-13.csv,Stacjonarny-CA89EB15,Mateusz,0,,134.9109,50.381,72.7079,8.5511,9.408,173,0.0,465.5849,798.2929,0.8005,0.0015,2.9463,0.2954,0.5152,0.3658,0.5934,1.9717,0.2744,0.0,3.5579,2.6667,266,73,8,3
session_2026-08-13_19-46-13.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,119.6319,72.2848,106.7744,13.2096,11.1539,200,0.0,532.8857,600.0,0.4347,0.0,2.9783,0.2285,0.6607,0.186,0.4607,2.6832,0.1277,0.0,0.5015,0.1667,321,41,1,6
session_2026-08-13_19-49-20.csv,MBurgerPC-C08954A945,Maxi,0,,84.3756,47.745,90.4213,8.9155,11.3159,148,0.0,351.043,600.0,0.3674,0.0,2.846,0.0891,0.1873,0.1949,0.4496,2.8444,0.1667,0.0,2.1333,0.2308,240,40,3,13
session_2026-08-13_19-49-20.csv,Phileas-PC-167800BF4,Phileas,0,,109.7263,63.4848,103.759,8.5038,9.5249,93,0.0,410.3857,600.0,0.3463,0.0,2.9599,0.1277,0.0994,0.2926,0.9441,1.0025,0.2273,0.0,1.0936,0.25,110,25,2,8
session_2026-08-13_19-49-20.csv,Stacjonarny-CA89EB15,Mateusz,1,aimbot+wallhack+triggerbot+godmode,149.9418,47.5031,152.7818,10.5214,13.3701,1984,0.0113,435.0899,600.0,0.6869,0.0,2.9816,0.0366,0.085,0.0461,0.0969,18.4672,0.0668,0.0,11.2043,28.0,2769,185,28,0
session_2026-08-13_19-49-20.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,84.5099,54.099,93.564,10.7482,11.853,26,0.0,480.6043,600.0,0.3787,0.0,2.9898,0.0167,0.0167,0.137,0.2311,0.6153,0.1346,0.0,0.71,0.0769,52,7,1,13
session_2026-08-13_19-52-40.csv,Stacjonarny-CA89EB15,Mateusz,0,,114.6311,62.0514,92.3245,11.3497,9.9426,271,0.0,470.2386,600.0,0.6717,0.0,2.9933,0.2194,0.6139,0.1836,0.4849,3.1143,0.1569,0.0,2.6171,0.7143,357,56,5,7
session_2026-08-13_19-52-40.csv,Phileas-PC-167800BF4,Phileas,0,,115.5959,75.2952,110.6459,9.7285,9.7888,373,0.0,469.7347,693.5411,0.5537,0.0009,2.9741,0.1367,0.6321,0.1502,0.3932,4.2995,0.1509,0.0,2.5952,0.7143,497,75,5,7
session_2026-08-13_19-52-40.csv,MBurgerPC-C08954A945,Maxi,0,,129.9004,36.0894,60.3341,8.0232,9.9942,366,0.0,415.643,600.0,0.6236,0.0,2.9866,0.1276,0.3852,0.1991,0.5057,3.826,0.2133,0.0,5.0808,2.75,497,106,11,4
session_2026-08-13_19-52-40.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,129.8694,32.0674,81.1853,9.3542,9.6639,107,0.0,209.574,600.0,0.4081,0.0,2.9316,0.1206,0.3671,0.1169,0.145,1.2705,0.1818,0.0,0.0,0.0,165,30,0,4
session_2026-08-13_19-55-30.csv,Stacjonarny-CA89EB15,Mateusz,0,,18.6452,43.1616,68.9936,8.0046,11.9069,36,0.0,516.9475,600.0,0.3218,0.0,2.7033,0.1608,0.0983,0.2553,0.4377,3.4861,0.1846,0.0,0.0,0.0,65,12,0,1
session_2026-08-13_19-55-30.csv,Phileas-PC-167800BF4,Phileas,0,,115.654,76.3348,117.9075,20.9353,13.9836,69,0.0,417.7297,600.0,0.4323,0.0,2.9927,0.6315,1.079,0.3129,0.8938,1.6774,0.0619,0.0,1.0376,0.2857,194,12,2,7
session_2026-08-13_19-55-30.csv,MBurgerPC-C08954A945,Maxi,0,,119.7581,34.2085,63.7351,10.1879,10.8014,180,0.0,390.7443,600.0,0.4008,0.0,2.9112,0.2339,0.4238,0.1951,0.3873,3.0729,0.106,0.0,0.0,0.0,368,39,0,6
